Period,Scheduled
1-Oct-02,48055
1-Nov-02,44850
1-Dec-02,49684
1-Jan-03,43032
1-Feb-03,41167
1-Mar-03,49993
1-Apr-03,47033
1-May-03,49152
1-Jun-03,52210
1-Jul-03,55811
1-Aug-03,53921
1-Sep-03,44213
1-Oct-03,49945
1-Nov-03,47059
1-Dec-03,49757
1-Jan-04,43815
1-Feb-04,45307
1-Mar-04,54147
1-Apr-04,53253
1-May-04,53031
1-Jun-04,56959
1-Jul-04,59614
1-Aug-04,57381
1-Sep-04,47672
1-Oct-04,54167
1-Nov-04,51782
1-Dec-04,52640
1-Jan-05,47978
1-Feb-05,47075
1-Mar-05,58839
1-Apr-05,54909
1-May-05,57324
1-Jun-05,59724
1-Jul-05,62396
1-Aug-05,59111
1-Sep-05,50600
1-Oct-05,53738
1-Nov-05,52766
1-Dec-05,52801
1-Jan-06,48886
1-Feb-06,47348
1-Mar-06,58286
1-Apr-06,55829
1-May-06,57145
1-Jun-06,59297
1-Jul-06,60839
1-Aug-06,58303
1-Sep-06,49950
1-Oct-06,55089
1-Nov-06,53852
1-Dec-06,53539
1-Jan-07,50022
1-Feb-07,47766
1-Mar-07,59244
1-Apr-07,57396
1-May-07,59284
1-Jun-07,61494
1-Jul-07,63457
1-Aug-07,62658
1-Sep-07,52308
1-Oct-07,57206
1-Nov-07,55044
1-Dec-07,53289
1-Jan-08,50245
1-Feb-08,50118
1-Mar-08,59213
1-Apr-08,55611
1-May-08,58047
1-Jun-08,59559
1-Jul-08,61402
1-Aug-08,58966
1-Sep-08,47680
1-Oct-08,52956
1-Nov-08,47658
1-Dec-08,50254
1-Jan-09,44822
1-Feb-09,43677
1-Mar-09,53531
1-Apr-09,52245
1-May-09,52949
1-Jun-09,55898
1-Jul-09,59469
1-Aug-09,56568
1-Sep-09,48235
1-Oct-09,52279
1-Nov-09,48585
1-Dec-09,49793
1-Jan-10,45502
1-Feb-10,42441
1-Mar-10,54424
1-Apr-10,52498
1-May-10,53842
1-Jun-10,56690
1-Jul-10,59143
1-Aug-10,57371
1-Sep-10,50305
1-Oct-10,54826
1-Nov-10,51420
1-Dec-10,51076
1-Jan-11,46305
1-Feb-11,43658
1-Mar-11,55649
1-Apr-11,52859
1-May-11,55982
1-Jun-11,57779
1-Jul-11,60310
1-Aug-11,57404
1-Sep-11,50982
1-Oct-11,54124
1-Nov-11,51660
1-Dec-11,51535
1-Jan-12,47081
1-Feb-12,46405
1-Mar-12,56200
1-Apr-12,53691
1-May-12,55749
1-Jun-12,57903
1-Jul-12,59688
1-Aug-12,58646
1-Sep-12,50135
1-Oct-12,53780
1-Nov-12,51845
1-Dec-12,51166
1-Jan-13,47817
1-Feb-13,45740
1-Mar-13,56565
1-Apr-13,53229
1-May-13,56563
1-Jun-13,57991
1-Jul-13,59311
1-Aug-13,58115
1-Sep-13,50766
1-Oct-13,54706
1-Nov-13,50543
1-Dec-13,54333
1-Jan-14,47957
1-Feb-14,45513
1-Mar-14,57762
1-Apr-14,55248
1-May-14,57889
1-Jun-14,59262
1-Jul-14,61759
1-Aug-14,59762
1-Sep-14,52530
1-Oct-14,57084
1-Nov-14,52578
1-Dec-14,55487
1-Jan-15,49728
1-Feb-15,47165
1-Mar-15,59557
1-Apr-15,57698
1-May-15,60252
1-Jun-15,61811
1-Jul-15,65130
1-Aug-15,62774
1-Sep-15,55990
1-Oct-15,60892
1-Nov-15,57151
1-Dec-15,57870
1-Jan-16,52474
1-Feb-16,51111
1-Mar-16,61593
1-Apr-16,58894
1-May-16,62752
1-Jun-16,64757
1-Jul-16,66136
1-Aug-16,63500
1-Sep-16,58620
1-Oct-16,61709
1-Nov-16,59269
1-Dec-16,59178
1-Jan-17,54109
1-Feb-17,51078
1-Mar-17,63963
1-Apr-17,61099
1-May-17,64443
1-Jun-17,66746
1-Jul-17,68575
1-Aug-17,66665
1-Sep-17,57145
1-Oct-17,64620
1-Nov-17,61910
1-Dec-17,61374
1-Jan-18,55829
1-Feb-18,54077
1-Mar-18,66641
